name,cuisines,rating,cost_for_two,city
Frozen Bottle,"Beverages, Desserts, Ice Cream",4.2,400.0,Banashankari
Parimala Sweets,"Mithai, Street Food",3.5,200.0,Banashankari
Vaishali Deluxe,"North Indian, Chinese",3.8,700.0,Banashankari
The Big O Bakes,"Bakery, Desserts",4.0,300.0,Banashankari
Meghana Foods,"Biryani, North Indian, Chinese",4.4,600.0,Jayanagar
Krishna Sagar,North Indian,3.5,200.0,Banashankari
Dessert Rose,Desserts,3.5,500.0,Banashankari
Chickpet Donne Biryani House,Biryani,3.7,250.0,Banashankari
Thanco's Natural Ice Creams,Ice Cream,3.2,300.0,Banashankari
Nandhini Deluxe,North Indian,2.6,600.0,Banashankari
Vi Ra's Bar and Restaurant,"South Indian, North Indian, Chinese",3.3,800.0,Banashankari
Kaggis,"Fast Food, Bakery",3.8,250.0,Banashankari
Ayda Persian Kitchen,"North Indian, Iranian",3.7,950.0,Banashankari
Chatar Patar,"Fast Food, Street Food",3.7,300.0,Banashankari
Polar Bear,"Ice Cream, Desserts, Beverages, Sandwich",3.8,400.0,Basavanagudi
Kidambi's Kitchen,South Indian,3.5,300.0,Banashankari
Mane Thindi,South Indian,3.7,200.0,Banashankari
Kotian Karavali Restaurant,"South Indian, Biryani",3.5,300.0,Banashankari
Floured-Baked With Love,Bakery,3.8,400.0,Banashankari
CAFE NOVA,"Cafe, Bakery",3.2,600.0,Banashankari
Cakes & Slices,"Bakery, Desserts",3.5,300.0,Banashankari
Spice 9,"Biryani, North Indian, Chinese, Fast Food",3.4,300.0,Banashankari
Naveen Kabab & Biriyani Mane,Biryani,3.2,300.0,Banashankari
Katriguppe Donne Biryani,North Indian,3.2,300.0,Banashankari
Atithi Point Ande Ka Funda,North Indian,3.1,150.0,Banashankari
Just Bake,"Bakery, Desserts",3.4,400.0,Banashankari
K27 - The Pub,"Chinese, North Indian",3.1,1000.0,Banashankari
Bengaluru Coffee House,"South Indian, North Indian, Chinese, Street Food",4.1,300.0,Banashankari
New Mangalore Lunch Home,"Mangalorean, South Indian, North Indian",3.3,200.0,Banashankari
Coffee Bytes,"Fast Food, South Indian",3.1,100.0,Banashankari
Parjanya Chat Zone,"Street Food, Fast Food",3.3,200.0,Banashankari
Kwality Wall's Swirl's Happiness Station,"Ice Cream, Desserts",2.9,200.0,Banashankari
Ruchi Maayaka,South Indian,3.3,100.0,Banashankari
Anna Kuteera,"South Indian, North Indian, Chinese",4.0,450.0,Banashankari
Darbar,"North Indian, Chinese",3.0,800.0,Banashankari
Vijayalakshmi,South Indian,3.9,200.0,Basavanagudi
Sri Udupi Food Hub,"South Indian, North Indian, Chinese, Beverages",4.1,500.0,Jayanagar
Udupi Upahar,"South Indian, Chinese, North Indian, Juices",3.8,300.0,Banashankari
House Of Kebabs,"North Indian, Kebab, Biryani, Chinese",3.8,650.0,Basavanagudi
Roll N Rock,"Chinese, North Indian, Mughlai, Rolls",3.8,400.0,Kumaraswamy Layout
BOX8- Desi Meals,"North Indian, Mughlai, Fast Food",4.1,500.0,Banashankari
KFC,"Burger, Fast Food",3.8,450.0,Banashankari
Roll Over,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1,500.0,Jayanagar
Imperial Restaurant,"North Indian, Chinese, Biryani, Beverages",3.7,750.0,Mysore Road
Lassi Shop,"Beverages, Juices, Ice Cream",3.9,150.0,Kumaraswamy Layout
The Fortuna,"North Indian, Chinese",3.0,250.0,Kumaraswamy Layout
Wahab,"North Indian, Mughlai, Chinese",3.7,350.0,Jayanagar
Al Diwan Biryanis And More,Biryani,3.3,300.0,Basavanagudi
New Gowda's Fried Chicken,Biryani,3.3,300.0,Banashankari
Canton,"Chinese, Seafood, Biryani",3.6,800.0,Jayanagar
Diabetics Dezire Sugarless Sweets and Bakes,"Desserts, Mithai",3.3,300.0,Basavanagudi
The Blue Wagon - Kitchen,"Cafe, Beverages",4.6,400.0,Jayanagar
HOT COFFEE,"South Indian, Chinese",4.1,150.0,Basavanagudi
Patio 805,"Thai, Vietnamese, Asian, Chinese",4.1,1200.0,Jayanagar
Lassi Corner,"Beverages, Ice Cream",3.7,150.0,Basavanagudi
Sagar Deluxe,"South Indian, North Indian, Chinese, Juices",3.2,300.0,Kumaraswamy Layout
Kanti Sweets,"Mithai, Street Food",4.0,400.0,Banashankari
Vegetalia,"Italian, Pizza",3.7,400.0,Banashankari
Aramane Donne Biryani,Biryani,3.5,200.0,Banashankari
Ande Ka Funda,"North Indian, Fast Food, Rolls",3.8,250.0,Banashankari
Cake Ghar,Bakery,3.8,400.0,Basavanagudi
Energy Addaa,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2,500.0,Basavanagudi
Bhattara Bhojana,South Indian,3.6,150.0,Banashankari
Tandoori Knight,"North Indian, Chinese, Biryani, Kebab",3.0,450.0,Banashankari
Dev Sagar - Food Street,Street Food,4.1,200.0,Basavanagudi
Mitraa Da Pizza,"Fast Food, Pizza",3.8,250.0,Kumaraswamy Layout
Paradise Premium,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700.0,Banashankari
Grazers,"Cafe, Burger, Continental, Italian, Desserts",3.9,650.0,Jayanagar
Shakes Theory,"Beverages, Sandwich",4.5,300.0,Jayanagar
@Italy,Italian,4.1,700.0,Kumaraswamy Layout
Chilli Flakes,"Fast Food, Italian, Beverages",3.6,500.0,Banashankari
Calcutta Cafe,"Bengali, Chinese, Sandwich",3.5,350.0,Kumaraswamy Layout
Old Mumbai Ice Cream,Ice Cream,3.9,150.0,Banashankari
Donne Biriyani House,"South Indian, North Indian, Chinese, Biryani",3.9,400.0,Banashankari
By 2 Coffee,South Indian,3.9,100.0,Basavanagudi
Kedia's Fun Food,"North Indian, Street Food, Juices",4.3,200.0,Jayanagar
Davangere Butter Dosa Hotel,South Indian,3.8,150.0,Kumaraswamy Layout
Just Shawarma,Arabian,3.9,300.0,Kumaraswamy Layout
Mini Punjabi Dhaba,North Indian,4.2,350.0,Banashankari
Mulabagilu Dosa,South Indian,3.6,100.0,Basavanagudi
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Cafe,4.1,500.0,Banashankari
Gokul Veg,"North Indian, Chinese, Beverages",3.8,750.0,Basavanagudi
Olive - Era,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550.0,Kumaraswamy Layout
Udupi Ruchi,"South Indian, North Indian, Chinese, Street Food",3.9,200.0,Banashankari
Madhappa Hindu Military Hotel,South Indian,3.4,300.0,Banashankari
Gama Gama,South Indian,3.9,200.0,Banashankari
The Vintage Cafe,"Cafe, French, North Indian",3.0,400.0,Banashankari
Pizza Hut,"Pizza, Fast Food",3.8,750.0,Banashankari
Mangalore Pearl,"Mangalorean, Seafood, Chinese, Biryani",3.8,650.0,Jayanagar
Asha Sweets Centre,Fast Food,3.6,250.0,Basavanagudi
Twiststick House,"Continental, Fast Food, Street Food, Momos",4.1,500.0,Basavanagudi
Cool Corner,"Street Food, Fast Food",4.2,250.0,Basavanagudi
Pizza Mane,"Pizza, Sandwich, Burger, Fast Food",3.5,150.0,Banashankari
Dal Tadkaa,North Indian,2.5,500.0,Banashankari
Chutney Chang,"North Indian, Chinese, BBQ",4.1,1500.0,Jayanagar
Mystique Palate,"Chinese, Fast Food",4.1,300.0,Jayanagar
Thamboola,"North Indian, Chinese, Continental",3.9,800.0,Banashankari
Castle Rock,"North Indian, Chinese",3.6,700.0,Uttarahalli
Vietnamese Kitchen,Vietnamese,3.6,700.0,Banashankari
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0,Banashankari
C Corner,"Fast Food, Street Food",3.2,200.0,Kumaraswamy Layout
Paratha Merchant,North Indian,3.1,300.0,Kumaraswamy Layout
North Rasoe,"North Indian, Chinese, Biryani, Kebab",3.1,500.0,Kumaraswamy Layout
Toscano,"Italian, Salad",4.3,1300.0,Jayanagar
Lord Of The Kitchen,"North Indian, Chinese",3.9,350.0,Kumaraswamy Layout
Stoned Monkey,"Desserts, Ice Cream",4.3,500.0,Banashankari
Central Jail Restaurant,"Andhra, Seafood, North Indian, Chinese",3.8,700.0,Jayanagar
Bella,"Mangalorean, Seafood, South Indian",3.9,1000.0,Jayanagar
Vennela Andhra Meals,Andhra,3.0,400.0,Jayanagar
New Prashanth Hotel,"South Indian, Biryani, Chinese, North Indian",3.6,750.0,Jayanagar
The Grillo,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8,500.0,Jayanagar
Re Malnad Nati Style Hotel,South Indian,3.6,400.0,Jp Nagar
Karma Kaapi,"Beverages, Tea",4.4,250.0,Jayanagar
Tiwari's,"North Indian, Street Food",3.8,200.0,Jayanagar
Pizza Stop,"Pizza, Italian",3.8,600.0,Basavanagudi
Biggies Burger 'n' More,"Cafe, Burger, Beverages",3.6,650.0,Kumaraswamy Layout
Srinathji's Cafe,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0,Basavanagudi
Kollapuri's,"South Indian, Mangalorean",3.9,450.0,Basavanagudi
Kadamba Classic,South Indian,3.6,300.0,Mysore Road
RS Shiv Sagar,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,450.0,Basavanagudi
Kholi Mane,"Andhra, South Indian, Biryani, North Indian",3.6,450.0,Basavanagudi
Harshi Super Sandwich,"Fast Food, Street Food",3.8,150.0,Basavanagudi
Cake Yard,Desserts,3.4,250.0,Basavanagudi
Rosewood International Hotel - Bar & Restaurant,"North Indian, South Indian, Andhra, Chinese",3.6,800.0,Mysore Road
Sri Udupi Veg,South Indian,3.3,250.0,Jayanagar
Cake Art,Bakery,3.5,400.0,Basavanagudi
Potato House,Street Food,3.4,200.0,Uttarahalli
Matru Sagar,"South Indian, North Indian",3.7,300.0,Mysore Road
Ugadi,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700.0,Jayanagar
Sri Krishna Sweets,"Mithai, Desserts",3.7,250.0,Basavanagudi
In Time Cane Juice,"Juices, Beverages",3.5,100.0,Kumaraswamy Layout
Subway,"Salad, Fast Food",3.7,600.0,Banashankari
Daal Roti,"North Indian, Chinese",2.9,250.0,Kumaraswamy Layout
The Lassi Park,"Juices, Desserts",4.1,200.0,Jayanagar
Cafe Coffee Day,"Cafe, Fast Food",3.2,900.0,Jayanagar
A2B - Adyar Ananda Bhavan,"South Indian, North Indian, Chinese, Street Food",3.8,400.0,Mysore Road
Srikrishna Bhavan,"South Indian, North Indian, Chinese",3.8,300.0,Banashankari
Timepass Dinner,North Indian,3.8,600.0,Basavanagudi
Green Gardenia,"North Indian, Chinese",3.8,700.0,Banashankari
J Spice,"North Indian, Chinese",3.8,750.0,Banashankari
Karavali Family Restaurant,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5,500.0,Jayanagar
Karavali Lunch Home,"South Indian, Mangalorean",3.7,350.0,Kumaraswamy Layout
Hatti Kaapi,"South Indian, Beverages",4.0,200.0,Jayanagar
Kolkata Kathi Roll's,"Fast Food, Rolls",3.6,250.0,Banashankari
Upahara Darshini,"North Indian, Chinese, South Indian, Fast Food",3.9,600.0,Basavanagudi
The Chaat Shop,Fast Food,2.5,200.0,Basavanagudi
Anda Ka Funda,"North Indian, Chinese, Rolls",3.4,250.0,Jayanagar
Shri Vinayaka Ice N Juice,"Beverages, Fast Food",3.2,150.0,Basavanagudi
My Tea House,"Italian, Fast Food, Cafe, European",3.6,600.0,Banashankari
Ibaco,Desserts,3.9,300.0,Jayanagar
Jalaram Sweets,"Desserts, Mithai",3.8,250.0,Jayanagar
Samskruti - Sanman Gardenia,"North Indian, Chinese, South Indian",4.1,550.0,Jayanagar
Bendakaluru Bytes,Fast Food,3.2,300.0,Vijay Nagar
Cocoa Bakes,"Bakery, Desserts",3.6,350.0,Banashankari
Chumma Delicious,"South Indian, Fast Food",3.7,200.0,Banashankari
New Prashanth Hotel,"Biryani, North Indian, Seafood, Andhra",3.9,650.0,Banashankari
Dwaraka Grand,"South Indian, Chinese, Street Food, Juices",3.9,500.0,Kumaraswamy Layout
Gufha - The President Hotel,"North Indian, Afghani, Mughlai",4.1,1200.0,Jayanagar
Cafe Vivacity,Cafe,3.8,650.0,Banashankari
Tanna's Kitchen,"Italian, Chinese, Street Food",3.1,250.0,Kumaraswamy Layout
Shree Mandarathi Grand,"South Indian, North Indian",3.7,400.0,Uttarahalli
Mojo Pizza - 2X Toppings,Pizza,4.2,600.0,Banashankari
Iceberg Icecreams,"Desserts, Ice Cream",4.0,250.0,Basavanagudi
South Kitchen,South Indian,4.3,100.0,Basavanagudi
Chung Wah,"Chinese, Thai, Momos",3.7,850.0,Jayanagar
Shanthi Sagar,"South Indian, North Indian, Chinese",3.1,400.0,Uttarahalli
Millet Mama,"South Indian, Healthy Food",3.9,200.0,Basavanagudi
Bangarpet Chat Express,"Street Food, Fast Food",3.3,100.0,Basavanagudi
Prems Graama Bhojanam,South Indian,4.3,400.0,Jayanagar
Java City,"Cafe, American, Pizza",2.6,450.0,Jayanagar
Kamat Bugle Rock,"South Indian, Fast Food",3.9,300.0,Basavanagudi
Woodee Pizza,"Cafe, Pizza, Fast Food, Beverages",3.7,500.0,Banashankari
Puliyogare Point,South Indian,4.2,100.0,Basavanagudi
Bangalore Agarwal Bhavan,"Street Food, North Indian, South Indian",3.9,400.0,Jayanagar
Rustic Stove,"North Indian, South Indian, Biryani, Beverages",3.8,900.0,Jayanagar
Udupi Ruchi Grand,"South Indian, North Indian, Chinese, Street Food",4.2,200.0,Banashankari
De Thaali,"North Indian, Chinese, Rolls",3.9,550.0,Jayanagar
Spice Elephant,"Chinese, North Indian, Thai",4.1,800.0,Banashankari
Just Thindi,South Indian,3.6,200.0,Basavanagudi
Matru Sagar,"South Indian, North Indian, Chinese",3.6,250.0,Banashankari
Vasanth Vihar - Since 1965,"South Indian, Street Food",3.6,150.0,Banashankari
Sea Spice by 7 Star,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200.0,Banashankari
Desi Dawat,"North Indian, Fast Food",3.7,400.0,Kumaraswamy Layout
Cafe Aira,"Cafe, Continental, Beverages, Desserts",4.1,500.0,Basavanagudi
Penthouse Cafe,"Cafe, Italian, Continental",4.0,700.0,Banashankari
Mast Punjabi,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,400.0,Kumaraswamy Layout
South Grand,"South Indian, North Indian, Chinese, Beverages",3.4,400.0,Uttarahalli
Catch-up-ino,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,Banashankari
The Pizzeria,"Pizza, Italian, Salad",2.8,800.0,Banashankari
Cafe Zone,"Fast Food, Chinese, Rolls",3.9,300.0,Kumaraswamy Layout
Ruchis Point,"Fast Food, Chinese",3.8,200.0,Banashankari
Firangi Bake,"Mexican, Italian",4.0,600.0,Rajarajeshwari Nagar
The Royal Corner - Pai Viceroy,"North Indian, Chinese",4.2,900.0,Jayanagar
Hara Fine Dine,"North Indian, Chinese",4.0,800.0,Banashankari
Chocoberry,"Ice Cream, Desserts, Beverages",3.5,400.0,Jayanagar
Dakshin Grand,"South Indian, North Indian, Chinese, Street Food",3.0,300.0,Banashankari
Sandwichwallas,Fast Food,3.7,200.0,Jayanagar
Chai Mane,"Juices, Fast Food",3.6,150.0,Basavanagudi
SLV Upachar,"South Indian, Chinese, Street Food",3.1,250.0,Kumaraswamy Layout
Waffle-A-Go Go,"Fast Food, Desserts, Ice Cream",3.9,400.0,Banashankari
Cross Road Cafe,"Cafe, Fast Food, Chinese",3.9,300.0,Jayanagar
Anand Donne Biriyani,Biryani,3.6,200.0,Jayanagar
Seven Star,"North Indian, Chinese",3.4,250.0,Banashankari
Stop 'N' Joy,Fast Food,3.8,150.0,Banashankari
Sri Yaksha Shiv Sagar,"North Indian, Chinese",3.6,600.0,Banashankari
Fudge,"Desserts, Momos",3.8,200.0,Basavanagudi
Just Bunny,Fast Food,3.5,200.0,Jayanagar
Bakers Town,"Cafe, Continental, Fast Food",3.8,650.0,Kumaraswamy Layout
Shree Mahalakshmi Sweets,"Mithai, Street Food",3.2,100.0,Banashankari
Kaapi Kendra,South Indian,3.7,100.0,Jayanagar
Ivy,"North Indian, Chinese, Fast Food",3.8,600.0,Kumaraswamy Layout
The Airos,"Cafe, Italian, Pizza",4.1,650.0,Jayanagar
Chai Kraft,"Beverages, Tea",4.1,100.0,Jayanagar
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,Banashankari
South Point Pub,"North Indian, Seafood, Chinese",3.4,800.0,Basavanagudi
The Trundle,"Chinese, Thai, Continental, North Indian",3.7,700.0,Jayanagar
The Krishna Grand Xpress,"South Indian, Fast Food",4.0,350.0,Jayanagar
Sri Krishna Darshini,"South Indian, North Indian, Chinese",3.1,200.0,Basavanagudi
Shringar Sweets & Snacks,"Mithai, South Indian, Street Food, Fast Food",3.5,200.0,Basavanagudi
Udupi Grand,"South Indian, North Indian, Chinese",3.8,300.0,Basavanagudi
Ganesh Grand,"South Indian, North Indian, Desserts",3.7,300.0,Basavanagudi
Shreyas Upahar & Burger Point,"South Indian, Burger",3.0,200.0,Basavanagudi
Coffee Tindi,"Cafe, South Indian",3.8,200.0,Banashankari
Little Cafe,"Cafe, Beverages",3.7,600.0,Basavanagudi
Mumbai Badam Milk & Lassi Center,"Beverages, Desserts",3.6,100.0,Basavanagudi
Sri Krishna Sagar,"North Indian, Chinese",3.2,400.0,Banashankari
Mylari Biryani Family Restaurant,"Biryani, Fast Food",3.7,400.0,Banashankari
1980s Games Cafe,"Cafe, Fast Food",3.4,400.0,Basavanagudi
Kadala Tarangaa,"Mangalorean, Seafood, North Indian",3.6,600.0,Banashankari
Namma Biryani,"Biryani, Chinese, North Indian",3.6,250.0,Banashankari
Nandhanu's Rasoi,"Chinese, North Indian",3.0,400.0,Kumaraswamy Layout
Hotel Pork Paradise,South Indian,3.7,300.0,Mysore Road
As On Fire,"Pizza, Fast Food, BBQ",3.5,400.0,South Bangalore
J K Fish Land,"Seafood, Mangalorean",3.6,300.0,Jayanagar
Curry Leaves,"Andhra, North Indian, Chinese",4.1,800.0,Basavanagudi
Lassi Shop,"Beverages, Ice Cream, Fast Food",3.5,300.0,Banashankari
Magic Meals,"Fast Food, Desserts, Beverages",3.7,400.0,Jayanagar
Desi Cream Junction,"Chinese, North Indian, Pizza, Italian",3.7,650.0,Jayanagar
Drunken Monkey,"Beverages, Fast Food",3.8,400.0,Kumaraswamy Layout
Ruchi's Corner,Fast Food,2.7,200.0,Banashankari
Tandoori Bytes,North Indian,3.6,700.0,Kumaraswamy Layout
Bangalore Donne Biriyani,"South Indian, Biryani",3.2,300.0,Kumaraswamy Layout
SGS Non Veg - Gundu Pulav,"Biryani, Fast Food",3.8,400.0,Banashankari
Keventers,"Desserts, Beverages, Ice Cream",3.7,400.0,Banashankari
Navi Food Point,Fast Food,3.6,200.0,Basavanagudi
Shawarma Inc,"Rolls, Lebanese",3.1,250.0,Banashankari
The Cafe Nuts and Bolts,"Cafe, Fast Food, Chinese",3.0,500.0,Kumaraswamy Layout
AM WOW,Beverages,3.4,100.0,Jayanagar
Lalbagh Grand,"South Indian, North Indian, Chinese",3.0,250.0,Basavanagudi
Funjabi Curries,North Indian,2.9,500.0,Banashankari
Eat Repeat,South Indian,3.9,150.0,Basavanagudi
Salut,"Continental, Finger Food, Seafood, Pizza",4.1,1200.0,Jayanagar
Nammura Donne Biriyani,"Biryani, Fast Food",3.5,400.0,Basavanagudi
Lassi Stop,"Beverages, Fast Food, Juices",3.4,150.0,Banashankari
Dakshin Kitchen,South Indian,3.6,100.0,Basavanagudi
Sri Sai Cafe,South Indian,3.5,200.0,Basavanagudi
Sri Sai 99 Variety Dosa,South Indian,3.8,300.0,Banashankari
Utsav Restaurant,"North Indian, Chinese",3.8,300.0,Banashankari
Crunch and Munch,"Chinese, Street Food, Ice Cream",3.7,300.0,Uttarahalli
Food Geek,"Sandwich, Fast Food, Rolls",3.8,350.0,Basavanagudi
Sri Krishna Aramane,"South Indian, North Indian, Chinese, Fast Food",3.7,200.0,Kumaraswamy Layout
Great Indian Rolls,Rolls,3.3,100.0,Basavanagudi
Chats Point,"Fast Food, Street Food",3.4,150.0,Basavanagudi
Food Point,"North Indian, Chinese",3.5,300.0,Kumaraswamy Layout
Swarga Ruchi,South Indian,3.3,200.0,Basavanagudi
Kolkata King,"Fast Food, Rolls",3.4,300.0,Basavanagudi
Sandwich Mama's And Frozen Monster,"Ice Cream, Beverages, Fast Food",3.8,250.0,Jayanagar
New Rajadhani Spicy,North Indian,3.7,700.0,Kumaraswamy Layout
Big Mishra Pedha,Mithai,2.9,250.0,Jayanagar
VEGeatz,"South Indian, North Indian",3.4,200.0,Banashankari
Foodizo,"Desserts, Fast Food, Continental",3.6,300.0,Banashankari
Food Springs,"South Indian, Chinese",4.0,400.0,Jayanagar
Chung's Chinese Corner,Chinese,3.9,700.0,Jayanagar
Eurasia Pasta and Barbeque by Little Italy,"Italian, Fast Food, Salad, BBQ",4.1,1200.0,Jayanagar
Goli Vada Pav No. 1,Street Food,3.7,200.0,Basavanagudi
Ragoo's,"Italian, Pizza, North Indian, Salad",3.9,800.0,Jayanagar
Pure & Natural,"Fast Food, Continental, Beverages, Salad, Healthy Food",3.9,500.0,Jayanagar
Maiyas,"North Indian, South Indian, Fast Food, Juices",4.0,200.0,Jayanagar
Sip n Dine,"North Indian, Chinese, South Indian",3.6,800.0,Vijay Nagar
Cafe Mondo,"Cafe, Italian, Beverages",3.7,600.0,Basavanagudi
Jalpaan,"North Indian, Continental",4.0,900.0,Jayanagar
